,Unnamed: 0,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
926,926,1.0,1.0,,42.32754,-71.10732,3.0,1.2,1.3,1.5,2.0,6,2.0,2.0,1125.0,1125.0,2.0,1125.0,,0,0,0,50.0,0.0,0.0,4.96,4.96,5.0,5.0,4.84,4.88
927,927,22.0,29.0,,42.36636,-71.05428,2.0,1.0,1.0,1.0,32.0,1125,32.0,32.0,1125.0,1125.0,32.0,1125.0,,30,60,90,1.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,4.0
928,928,28.0,103.0,,42.36783,-71.04183,4.0,1.2,1.3,1.5,13.6,1125,12.7,13.1,1125.0,1125.0,14.5,1125.0,,0,0,0,0.0,0.0,0.0,4.8,4.8,4.9,4.9,4.8,4.7
929,929,28.0,103.0,,42.36809,-71.04161,4.0,1.2,1.3,1.5,13.6,1125,12.7,13.1,1125.0,1125.0,14.5,1125.0,,0,0,0,0.0,0.0,0.0,4.8,4.8,4.9,4.9,4.8,4.7
930,930,28.0,103.0,,42.36626,-71.04025,4.0,1.2,1.3,1.5,13.6,1125,12.7,13.1,1125.0,1125.0,14.5,1125.0,,0,0,0,1.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0
931,931,2.0,3.0,,42.28975,-71.0782,4.0,1.0,3.0,1.5,29.0,365,29.0,29.0,1125.0,1125.0,29.0,1125.0,,1,31,61,120.0,0.0,0.0,4.77,4.88,4.92,4.95,4.44,4.76
932,932,4.0,5.0,,42.27808,-71.08717,2.0,1.0,1.0,1.0,2.0,28,2.0,2.0,28.0,28.0,2.0,28.0,,29,59,89,94.0,8.0,0.0,4.84,4.86,4.94,4.95,4.63,4.84
933,933,2.0,2.0,,42.32188,-71.11647,1.0,1.0,0.0,1.0,13.6,180,12.7,13.1,180.0,180.0,14.5,180.0,,0,1,31,4.0,0.0,0.0,4.5,4.5,4.9,4.9,4.25,4.0
934,934,2.0,2.0,,42.33175,-71.04824,2.0,1.0,0.0,1.0,1.0,14,1.0,1.0,14.0,14.0,1.0,14.0,,13,43,73,91.0,15.0,0.0,4.93,4.96,4.95,4.92,4.88,4.88
935,935,2.0,3.0,,42.34207,-71.069,2.0,1.0,1.0,1.0,29.0,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,,26,56,86,59.0,4.0,0.0,4.97,4.95,5.0,4.97,4.98,4.86
936,936,28.0,103.0,,42.34457,-71.07829,3.0,1.2,1.0,1.5,13.6,1125,12.7,13.1,1125.0,1125.0,14.5,1125.0,,0,0,0,7.0,0.0,0.0,4.29,5.0,4.9,4.57,5.0,4.57
937,937,28.0,103.0,,42.34629,-71.07963,4.0,1.2,2.0,1.5,13.6,1125,12.7,13.1,1125.0,1125.0,14.5,1125.0,,0,0,0,2.0,0.0,0.0,5.0,5.0,4.9,5.0,5.0,5.0
938,938,2.0,2.0,,42.30753,-71.11757,2.0,1.0,2.0,2.0,1.0,64,1.0,1.0,1125.0,1125.0,1.0,1125.0,,23,26,26,108.0,10.0,0.3,4.81,4.86,4.92,4.96,4.94,4.76
939,939,1.0,2.0,,42.28607,-71.06849,2.0,1.0,1.0,1.0,13.6,365,12.7,13.1,365.0,365.0,14.5,365.0,,30,60,90,4.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,4.5
940,940,8.0,10.0,,42.29028,-71.06671,1.0,1.5,1.0,1.0,13.6,1125,12.7,13.1,1125.0,1125.0,14.5,1125.0,,29,59,89,3.0,0.0,0.0,5.0,4.67,5.0,5.0,4.67,5.0
941,941,25.0,31.0,,42.30959,-71.0643,1.0,1.2,1.3,1.5,30.0,180,30.0,30.0,1125.0,1125.0,30.0,1125.0,,28,56,85,27.0,1.0,0.0,4.67,4.74,4.85,4.81,4.37,4.56
942,942,8.0,8.0,,42.34291,-71.07301,3.0,1.0,1.0,1.0,1.0,365,1.0,3.0,1125.0,1125.0,1.4,1125.0,,18,48,59,126.0,25.0,0.0,4.87,4.86,4.96,4.95,4.94,4.71
943,943,5.0,5.0,,42.38137,-71.02311,3.0,1.0,1.0,3.0,1.0,21,1.0,1.0,1125.0,1125.0,1.0,1125.0,,17,32,46,23.0,7.4,0.3,4.83,4.87,4.93,4.93,4.75,4.82
944,944,8.0,8.0,,42.3,-71.11733,2.0,1.0,1.0,2.0,32.0,730,32.0,32.0,730.0,730.0,32.0,730.0,,0,27,39,58.0,5.0,0.0,4.67,4.86,4.98,4.96,4.79,4.54
945,945,8.0,8.0,,42.3,-71.11694,3.0,1.2,1.0,1.5,29.0,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,,0,0,0,55.0,0.0,0.0,4.78,4.95,4.96,4.95,4.75,4.78
946,946,8.0,10.0,,42.29027,-71.06673,1.0,1.5,1.0,1.0,13.6,1125,12.7,13.1,1125.0,1125.0,14.5,1125.0,,28,58,88,6.0,0.0,0.0,5.0,4.83,5.0,5.0,5.0,5.0
947,947,1.0,1.0,,42.33738,-71.14883,4.0,1.2,2.0,1.5,13.6,1125,12.7,13.1,1125.0,1125.0,14.5,1125.0,,0,0,0,14.0,0.0,0.0,4.86,4.86,5.0,4.93,4.86,4.79
948,948,1.0,1.0,,42.332897,-71.039543,2.0,1.5,1.0,1.0,2.0,14,2.0,2.0,1125.0,1125.0,2.0,1125.0,,24,53,81,23.0,44.0,1.0,4.99,4.96,4.94,4.98,4.91,4.89
